Unique ID,created_at,user_id,username,user_screen_name,text,retweets_count,likes_count,mentions,urls,photos,hashtags,SentimentScore,CountPunc,Readability,no_of_words,no_of_question_marks,no_of_exclamation_marks,no_of_hashtags,no_of_urls,tokenized_text,token_texts,Final Label
4056,2021-02-21 16:28:15 Eastern Standard Time,39557537,discangirl,dianne gill,#WakeUp #World the #COVID19 #vaccine is not #safe or #effective! #VAERS @NYGovCuomo @nypost @nydems @JoeBiden @HPVSideEffects @vaccineepidemic @delbigtree #DoctorsSpeakUp #FauciFraud @NYCMayor @BillGates  https://t.co/esE0zJbC9E,0,0,"[{'screen_name': 'nygovcuomo', 'name': 'andrew cuomo', 'id': '232268199'}, {'screen_name': 'nypost', 'name': 'new york post', 'id': '17469289'}, {'screen_name': 'nydems', 'name': 'new york state democratic party', 'id': '25017309'}, {'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}, {'screen_name': 'hpvsideeffects', 'name': 'hpv vaccine side effects', 'id': '1194645969582854144'}, {'screen_name': 'vaccineepidemic', 'name': 'vaccine epidemic', 'id': '236600800'}, {'screen_name': 'delbigtree', 'name': 'del bigtree', 'id': '45598972'}, {'screen_name': 'nycmayor', 'name': 'mayor bill de blasio', 'id': '19834403'}, {'screen_name': 'billgates', 'name': 'bill gates', 'id': '50393960'}]",[],"['https://pbs.twimg.com/media/Eux8RqmXcAIWsHG.jpg', 'https://pbs.twimg.com/media/Eux8RqkXMAEd9jG.jpg', 'https://pbs.twimg.com/media/Eux8RqpWgAA8BYl.jpg']","['wakeup', 'world', 'covid19', 'vaccine', 'safe', 'effective', 'vaers', 'doctorsspeakup', 'faucifraud']",-0.643,24,32,23,0,1,9,0,"['#WakeUp', '#World', 'the', '#COVID19', '#vaccine', 'is', 'not', '#safe', 'or', '#effective', '!', '#VAERS', '@NYGovCuomo', '@nypost', '@nydems', '@JoeBiden', '@HPVSideEffects', '@vaccineepidemic', '@delbigtree', '#DoctorsSpeakUp', '#FauciFraud', '@NYCMayor', '@BillGates', 'https://t.co/esE0zJbC9E']","['#WakeUp', '#World', '#COVID19', '#vaccine', '#safe', '#effective', '!', '#VAERS', '@NYGovCuomo', '@nypost', '@nydems', '@JoeBiden', '@HPVSideEffects', '@vaccineepidemic', '@delbigtree', '#DoctorsSpeakUp', '#FauciFraud', '@NYCMayor', '@BillGates', 'https://t.co/esE0zJbC9E']",FAKE
5368,2021-02-20 03:44:46 Eastern Standard Time,1.32E+18,realnarcissco,Narcissco (Contemporary Artist),"How much longer are you going to accept Bill Gates putting you, your kids on house arrest while he euthanises your elderly parents in ""care"" homes? #nhpolitics #biden #billgates #lockdown #vaccine #COVID19 #freedom #media #msm #poll",0,0,[],[],[],"['nhpolitics', 'biden', 'billgates', 'lockdown', 'vaccine', 'covid19', 'freedom', 'media', 'msm', 'poll']",0.8225,14,22.3,36,1,0,10,0,"['How', 'much', 'longer', 'are', 'you', 'going', 'to', 'accept', 'Bill', 'Gates', 'putting', 'you', ',', 'your', 'kids', 'on', 'house', 'arrest', 'while', 'he', 'euthanises', 'your', 'elderly', 'parents', 'in', '""', 'care', '""', 'homes', '?', '#nhpolitics', '#biden', '#billgates', '#lockdown', '#vaccine', '#COVID19', '#freedom', '#media', '#msm', '#poll']","['much', 'longer', 'going', 'accept', 'Bill', 'Gates', 'putting', ',', 'kids', 'house', 'arrest', 'euthanises', 'elderly', 'parents', '""', 'care', '""', 'homes', '?', '#nhpolitics', '#biden', '#billgates', '#lockdown', '#vaccine', '#COVID19', '#freedom', '#media', '#msm', '#poll']",FAKE
7405,2021-02-18 14:31:27 Eastern Standard Time,2964562403,bijtayari,Bijan Tayari,@jeremycorbyn and @BillGates will be hand in hand spreading #Nazi like #Covid19 #Vaccine #Fascism. Securing billions for #BigPharma #Amazon and other corporate interests.,0,0,"[{'screen_name': 'billgates', 'name': 'bill gates', 'id': '50393960'}]",[],[],"['nazi', 'covid19', 'vaccine', 'fascism', 'bigpharma', 'amazon']",0.9169,10,14.6,23,0,0,6,0,"['@jeremycorbyn', 'and', '@BillGates', 'will', 'be', 'hand', 'in', 'hand', 'spreading', '#Nazi', 'like', '#Covid19', '#Vaccine', '#Fascism', '.', 'Securing', 'billions', 'for', '#BigPharma', '#Amazon', 'and', 'other', 'corporate', 'interests', '.']","['@jeremycorbyn', '@BillGates', 'hand', 'hand', 'spreading', '#Nazi', 'like', '#Covid19', '#Vaccine', '#Fascism', '.', 'Securing', 'billions', '#BigPharma', '#Amazon', 'corporate', 'interests', '.']",FAKE
10918,2021-02-16 08:37:52 Eastern Standard Time,176809547,iamdarrellmills,Darrell Mills ?É?É?Ç?∞?É?Ç?Ç???É?Ç?Ç?î?É?Ç?Ç?Ñ,HAhaHAHAAhhA BILL gaTeS is so sTOopID! hE maKEs A neW dNa ALtErInG and trAkINg vAcciNE iNsTEAd oF PUTtiNG IT iN aN eXisTInG SEAsOnaL flU JaB!!!  #DARKOVERLORDFAIL #BillGates #COVID19 #vaccine,0,0,[],[],[],"['darkoverlordfail', 'billgates', 'covid19', 'vaccine']",-0.5815,8,19.4,29,0,4,4,0,"['HAhaHAHAAhhA', 'BILL', 'gaTeS', 'is', 'so', 'sTOopID', '!', 'hE', 'maKEs', 'A', 'neW', 'dNa', 'ALtErInG', 'and', 'trAkINg', 'vAcciNE', 'iNsTEAd', 'oF', 'PUTtiNG', 'IT', 'iN', 'aN', 'eXisTInG', 'SEAsOnaL', 'flU', 'JaB', '!', '!', '!', '#DARKOVERLORDFAIL', '#BillGates', '#COVID19', '#vaccine']","['HAhaHAHAAhhA', 'BILL', 'gaTeS', 'sTOopID', '!', 'maKEs', 'neW', 'dNa', 'ALtErInG', 'trAkINg', 'vAcciNE', 'iNsTEAd', 'PUTtiNG', 'eXisTInG', 'SEAsOnaL', 'flU', 'JaB', '!', '!', '!', '#DARKOVERLORDFAIL', '#BillGates', '#COVID19', '#vaccine']",FAKE
15251,2021-02-12 11:31:03 Eastern Standard Time,620678515,canolivemusic,Canolive,Remember this super flu virus (covid) has a #fake #cure being pushed (vaccine) by the same guy who invented a virus for his computer system to sell you the clean up software.  Bill Gates #crooks #virus #scam #Problem #solution #allsetup #COVID19 #vaccine #kill,0,0,[],[],[],"['fake', 'cure', 'crooks', 'virus', 'scam', 'problem', 'solution', 'allsetup', 'covid19', 'vaccine', 'kill']",-0.836,16,23.9,43,0,0,11,0,"['Remember', 'this', 'super', 'flu', 'virus', '(', 'covid', ')', 'has', 'a', '#fake', '#cure', 'being', 'pushed', '(', 'vaccine', ')', 'by', 'the', 'same', 'guy', 'who', 'invented', 'a', 'virus', 'for', 'his', 'computer', 'system', 'to', 'sell', 'you', 'the', 'clean', 'up', 'software', '.', 'Bill', 'Gates', '#crooks', '#virus', '#scam', '#Problem', '#solution', '#allsetup', '#COVID19', '#vaccine', '#kill']","['Remember', 'super', 'flu', 'virus', '(', 'covid', ')', '#fake', '#cure', 'pushed', '(', 'vaccine', ')', 'guy', 'invented', 'virus', 'computer', 'system', 'sell', 'clean', 'software', '.', 'Bill', 'Gates', '#crooks', '#virus', '#scam', '#Problem', '#solution', '#allsetup', '#COVID19', '#vaccine', '#kill']",FAKE
19008,2021-02-09 17:53:48 Eastern Standard Time,9.09E+17,gtv_luna,Luna ?É?É?Ç?∞?É?Ç?Ç???É?Ç?Ç?á?É?Ç?Ç?¶?É?É?Ç?∞?É?Ç?Ç???É?Ç?Ç?á?É?Ç?Ç??,@thehill #Hydroxychloroquine saves lives. Don't expect a rush #vaccine based on greed instead of the research of the original strain of the #CCPVirus. #COVID19   https://t.co/HntutZ2q43,0,0,[],[],"['https://pbs.twimg.com/media/Ep9YXxIUwAAxBrS.jpg', 'https://pbs.twimg.com/media/Ep9YkpKVEAE9ugO.jpg', 'https://pbs.twimg.com/media/Ep9YzFLUYAEaw-M.jpg', 'https://pbs.twimg.com/media/Ep9Y0X3U8AEYDAo.jpg']","['hydroxychloroquine', 'vaccine', 'ccpvirus', 'covid19']",-0.1531,13,14.8,25,0,0,4,0,"['@thehill', '#Hydroxychloroquine', 'saves', 'lives', '.', ""Don't"", 'expect', 'a', 'rush', '#vaccine', 'based', 'on', 'greed', 'instead', 'of', 'the', 'research', 'of', 'the', 'original', 'strain', 'of', 'the', '#CCPVirus', '.', '#COVID19', 'https://t.co/HntutZ2q43']","['@thehill', '#Hydroxychloroquine', 'saves', 'lives', '.', 'expect', 'rush', '#vaccine', 'based', 'greed', 'instead', 'research', 'original', 'strain', '#CCPVirus', '.', '#COVID19', 'https://t.co/HntutZ2q43']",FAKE
17698,2021-02-10 15:07:36 Eastern Standard Time,1.35E+18,moodybluesv2,Mario NOT Luigi,"""#Pfizer is unable to provide a completion date for the ongoing clinical trial.."". Dear happy clappy #Covid19UK #vaccine lovers, you're all Guinea Pigs. #COVID19 #covidvaccine  https://t.co/sDigyjRGir",59,85,[],[],['https://pbs.twimg.com/media/Et5AWSqWYAUveFF.jpg'],"['pfizer', 'covid19uk', 'vaccine', 'covid19', 'covidvaccine']",0.8658,18,16.6,26,0,0,5,0,"['""', '#Pfizer', 'is', 'unable', 'to', 'provide', 'a', 'completion', 'date', 'for', 'the', 'ongoing', 'clinical', 'trial', '.', '.', '""', '.', 'Dear', 'happy', 'clappy', '#Covid19UK', '#vaccine', 'lovers', ',', ""you're"", 'all', 'Guinea', 'Pigs', '.', '#COVID19', '#covidvaccine', 'https://t.co/sDigyjRGir']","['""', '#Pfizer', 'unable', 'provide', 'completion', 'date', 'ongoing', 'clinical', 'trial', '.', '.', '""', '.', 'Dear', 'happy', 'clappy', '#Covid19UK', '#vaccine', 'lovers', ',', 'Guinea', 'Pigs', '.', '#COVID19', '#covidvaccine', 'https://t.co/sDigyjRGir']",FAKE
10759,2021-02-16 10:40:01 Eastern Standard Time,606775958,incugneto,Dan Cugnet,"Liberals and @JustinTrudeau unveiling gun control measures today....  They must really be looking to distract us all from something else currently far more important.  Speaking of which, where are we at with that vaccine?  #SleightOfHand #vaccine #procurement #COVID19",5,59,"[{'screen_name': 'justintrudeau', 'name': 'justin trudeau', 'id': '14260960'}]",[],[],"['sleightofhand', 'vaccine', 'procurement', 'covid19']",-0.3626,12,25.8,38,1,0,4,0,"['Liberals', 'and', '@JustinTrudeau', 'unveiling', 'gun', 'control', 'measures', 'today', '.', '.', '.', '.', 'They', 'must', 'really', 'be', 'looking', 'to', 'distract', 'us', 'all', 'from', 'something', 'else', 'currently', 'far', 'more', 'important', '.', 'Speaking', 'of', 'which', ',', 'where', 'are', 'we', 'at', 'with', 'that', 'vaccine', '?', '#SleightOfHand', '#vaccine', '#procurement', '#COVID19']","['Liberals', '@JustinTrudeau', 'unveiling', 'gun', 'control', 'measures', 'today', '.', '.', '.', '.', 'must', 'really', 'looking', 'distract', 'us', 'something', 'else', 'currently', 'far', 'important', '.', 'Speaking', ',', 'vaccine', '?', '#SleightOfHand', '#vaccine', '#procurement', '#COVID19']",FAKE
9583,2021-02-17 06:45:44 Eastern Standard Time,16936686,21wire,Patrick Henningsen,"""Dr. J. Patrick Whelan, the immediate past president of the Los Angeles Pediatric Society, warned FDA that current research indicates that viral proteins generated by the Pfizer and Moderna mRNA #vaccine are likely to cause tissue damage similar to that caused by #COVID19.""",31,54,[],[],[],"['vaccine', 'covid19']",-0.6486,9,25.5,43,0,0,2,0,"['""', 'Dr', '.', 'J', '.', 'Patrick', 'Whelan', ',', 'the', 'immediate', 'past', 'president', 'of', 'the', 'Los', 'Angeles', 'Pediatric', 'Society', ',', 'warned', 'FDA', 'that', 'current', 'research', 'indicates', 'that', 'viral', 'proteins', 'generated', 'by', 'the', 'Pfizer', 'and', 'Moderna', 'mRNA', '#vaccine', 'are', 'likely', 'to', 'cause', 'tissue', 'damage', 'similar', 'to', 'that', 'caused', 'by', '#COVID19', '.', '""']","['""', 'Dr', '.', 'J', '.', 'Patrick', 'Whelan', ',', 'immediate', 'past', 'president', 'Los', 'Angeles', 'Pediatric', 'Society', ',', 'warned', 'FDA', 'current', 'research', 'indicates', 'viral', 'proteins', 'generated', 'Pfizer', 'Moderna', 'mRNA', '#vaccine', 'likely', 'cause', 'tissue', 'damage', 'similar', 'caused', '#COVID19', '.', '""']",FAKE
7233,2021-02-18 17:24:20 Eastern Standard Time,46997278,splendira,Ignis_Internum,"Stop talking nonsense dumb blind little shit world, be to the point ok, the #vaccine wasn't created to end the ""pandemic"", the ""#pandemic"" was created to get us to take the vaccine. #Covid19",7,45,[],[],[],"['vaccine', 'pandemic', 'covid19']",-0.9177,12,17.6,33,0,0,3,0,"['Stop', 'talking', 'nonsense', 'dumb', 'blind', 'little', 'shit', 'world', ',', 'be', 'to', 'the', 'point', 'ok', ',', 'the', '#vaccine', ""wasn't"", 'created', 'to', 'end', 'the', '""', 'pandemic', '""', ',', 'the', '""', '#pandemic', '""', 'was', 'created', 'to', 'get', 'us', 'to', 'take', 'the', 'vaccine', '.', '#Covid19']","['Stop', 'talking', 'nonsense', 'dumb', 'blind', 'little', 'shit', 'world', ',', 'point', 'ok', ',', '#vaccine', 'created', 'end', '""', 'pandemic', '""', ',', '""', '#pandemic', '""', 'created', 'get', 'us', 'take', 'vaccine', '.', '#Covid19']",FAKE
223,2021-02-24 15:30:08 Eastern Standard Time,2423370157,greatgameindia,GreatGameIndia,Women Vaccinated For #COVID19 May Show Symptoms Of Breast Cancer As Side-Effect Of The #Vaccine  https://t.co/sfgW6S4CBf,42,40,[],['https://greatgameindia.com/covid-19-vaccine-breast-cancer/'],[],"['covid19', 'vaccine']",-0.6597,8,17.2,16,0,0,2,1,"['Women', 'Vaccinated', 'For', '#COVID19', 'May', 'Show', 'Symptoms', 'Of', 'Breast', 'Cancer', 'As', 'Side-Effect', 'Of', 'The', '#Vaccine', 'https://t.co/sfgW6S4CBf']","['Women', 'Vaccinated', '#COVID19', 'May', 'Show', 'Symptoms', 'Breast', 'Cancer', 'Side-Effect', '#Vaccine', 'https://t.co/sfgW6S4CBf']",FAKE
613,2021-02-24 11:06:39 Eastern Standard Time,548632136,angelovalidiya,Dr Angelova,There is something fishy in #COVID19Vaccine for sure. If half or even more get placebo to cover it up it is much worse. In all cases these people died from untested medical treatment. Some old likely pushed to. #COVID #COVID19 #vaccine,12,25,[],[],[],"['covid19vaccine', 'covid', 'covid19', 'vaccine']",-0.6597,8,6.1,41,0,0,4,0,"['There', 'is', 'something', 'fishy', 'in', '#COVID19Vaccine', 'for', 'sure', '.', 'If', 'half', 'or', 'even', 'more', 'get', 'placebo', 'to', 'cover', 'it', 'up', 'it', 'is', 'much', 'worse', '.', 'In', 'all', 'cases', 'these', 'people', 'died', 'from', 'untested', 'medical', 'treatment', '.', 'Some', 'old', 'likely', 'pushed', 'to', '.', '#COVID', '#COVID19', '#vaccine']","['something', 'fishy', '#COVID19Vaccine', 'sure', '.', 'half', 'even', 'get', 'placebo', 'cover', 'much', 'worse', '.', 'cases', 'people', 'died', 'untested', 'medical', 'treatment', '.', 'old', 'likely', 'pushed', '.', '#COVID', '#COVID19', '#vaccine']",FAKE
